ASV,NP-001-502-714_F_filt.fastq.gz,NP-002-503-714_F_filt.fastq.gz,NP-005-507-714_F_filt.fastq.gz,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,NP-041-513-718_F_filt.fastq.gz,NP-042-515-718_F_filt.fastq.gz,NP-043-516-718_F_filt.fastq.gz,NP-044-517-718_F_filt.fastq.gz,NP-045-518-719_F_filt.fastq.gz,NP-046-520-719_F_filt.fastq.gz,NP-047-521-719_F_filt.fastq.gz,NP-048-522-719_F_filt.fastq.gz,NP-049-502-719_F_filt.fastq.gz,NP-050-503-719_F_filt.fastq.gz,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz,NP-066-503-704_F_filt.fastq.gz,NP-067-505-721_F_filt.fastq.gz,NP-068-506-721_F_filt.fastq.gz,NP-069-507-721_F_filt.fastq.gz,NP-070-508-721_F_filt.fastq.gz,NP-071-510-721_F_filt.fastq.gz,NP-072-511-721_F_filt.fastq.gz,NP-073-513-721_F_filt.fastq.gz,NP-074-515-704_F_filt.fastq.gz,NP-075-516-721_F_filt.fastq.gz,NP-076-517-721_F_filt.fastq.gz,NP-077-518-721_F_filt.fastq.gz,NP-078-522-722_F_filt.fastq.gz,NP-080-520-722_F_filt.fastq.gz,NP-081-502-722_F_filt.fastq.gz,NP-083-505-722_F_filt.fastq.gz,NP-084-506-722_F_filt.fastq.gz,NP-085-507-722_F_filt.fastq.gz,NP-086-508-722_F_filt.fastq.gz,NP-087-510-722_F_filt.fastq.gz,NP-088-511-722_F_filt.fastq.gz,NP-090-515-723_F_filt.fastq.gz,NP-091-516-723_F_filt.fastq.gz,NP-093-518-728_F_filt.fastq.gz,NP-094-520-728_F_filt.fastq.gz,NP-095-521-728_F_filt.fastq.gz,NP-096-522-728_F_filt.fastq.gz,NP-097-502-723_F_filt.fastq.gz,NP-098-503-723_F_filt.fastq.gz,NP-099-505-723_F_filt.fastq.gz,NP-102-508-724_F_filt.fastq.gz,NP-103-510-724_F_filt.fastq.gz,NP-104-511-724_F_filt.fastq.gz,NP-105-513-724_F_filt.fastq.gz,NP-106-515-724_F_filt.fastq.gz,NP-120-502-727_F_filt.fastq.gz,NP-121-503-727_F_filt.fastq.gz,NP-122-505-727_F_filt.fastq.gz,NP-123-506-727_F_filt.fastq.gz,NP-126-510-728_F_filt.fastq.gz,NP-127-511-728_F_filt.fastq.gz,NP-128-513-728_F_filt.fastq.gz,NP-129-515-728_F_filt.fastq.gz,NP-133-520-723_F_filt.fastq.gz,NP-134-521-723_F_filt.fastq.gz,NP-135-522-729_F_filt.fastq.gz,NP-139-506-729_F_filt.fastq.gz,NP-140-507-729_F_filt.fastq.gz,NP-141-508-729_F_filt.fastq.gz
ASV1,2,2,2,0,0,0,3,0,2,1,0,0,0,2,0,6,5,102,0,3,0,61,4,0,5,1,29,4,2,0,0,0,0,0,0,0,2,0,3,375,105,305,366,139,43,136,291,189,138,0,42,97,9,36,32323,25083,22254,28228,26986,32292,31865,36923,29830,40494,19313,23061,25667,28923,34143,30496,27957,29875,33923,6,3,6,0,6,0,5,0,0,17,4,0,7,0,0,3,33409,37612,32305,40065,25782,28839,27182,30213,27952,38520,48101,5,3,3
ASV2,0,0,0,10,0,7,0,4,51,13,3,2,9,2,12,37,2,0,0,1156,2,1,0,0,0,4,0,0,16,1160,1906,1367,2134,4223,776,605,1184,478,585,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,0,0,0,23382,9383,22517,19727,19267,24287,14767,21297,22797,19085,23055,42541,9380,31386,32779,472,0,0,0,0,0,2,0,0,4,0,0,24118,17836,21943
ASV3,2,6,0,10151,3521,833,6713,1519,17020,13845,8989,12530,3195,10742,13908,9056,18942,21701,3167,29472,15636,8356,12698,17434,18139,16461,15405,12945,9325,17203,7873,23606,11244,8567,8146,11945,7573,11041,11076,10027,2540,1997,2841,1437,213,366,520,8361,7703,6515,20141,2366,9003,1685,0,0,3,0,2,0,0,2,11,0,0,5139,0,2,6,0,0,8,0,2,38,576,4,15,1315,326,3159,5748,4692,406,390,8916,15,40,21088,0,0,0,11,0,0,0,0,0,0,1,0,0,0
ASV5,0,0,0,7739,938,4971,9874,7557,2608,2058,6214,6262,903,1943,1852,718,68,223,14,225,160,3671,7627,5496,5440,1992,92,604,148,122,26,370,48,100,63,115,56,78,151,21972,8644,9649,12650,9882,6761,13020,16005,11570,17518,9229,2862,12059,9514,12663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,33,0,0,0,0,38,0,0,4,0,0,81,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0
ASV8,0,0,0,472,1227,2401,5233,4150,2696,2505,2718,3360,8331,2524,620,3399,0,0,0,3993,0,0,0,0,0,0,0,0,0,1630,774,702,1295,5666,783,279,769,539,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,1,0,0,33,0,0,0,4,0,0,0,0,149,167,25,45,2051,1518,75,3126,1199,1594,1458,725,1039,5451,1258,216,3695,8,4,0,0,0,2930,3178,2162,4144,4205,1582,2480,2116,0,257,28,896,1094,1489,770,1123,906,219,445,6449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,951,7179,3101,338,359,282,11,228,49,283,20,179,660,126,224,80,6,29,91,499,168,82,24,26,169,99,107,68,32,243,188,138,127,88,76,49,18,90,68,0,5,3,0,0,10,0,3,0,7,167,18,70,177,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,5,0,0,0,0,0,5727,0,4,81,18,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
ASV20,0,0,0,9,8,319,0,50,28,9,0,0,70,8,26,38,4,0,107,859,12,8,0,0,0,2,0,54,209,146,56,439,497,349,183,417,35,49,58,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,13,7,0,0,4,0,0,2,1,8,8,3,0,3,2,0,5,8,12,26,8,26,1,17,0,0,49,116,0,12,6,3,0,4,0,26,0,3,0,1,0,0,0,0,66
ASV21,0,0,0,50,170,7,230,193,553,544,235,352,87,32,163,516,0,0,0,1122,0,0,0,0,0,0,0,0,0,375,398,304,1193,1002,2880,1175,794,308,1789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,134,36,0,206,0,26,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV22,50,119,640,18,0,0,0,0,0,0,0,0,9,0,14,0,56,14,2459,199,7,802,16,3,506,47,509,709,442,2,0,39,11,0,0,7,0,7,0,0,3,0,0,0,1,32,36,0,0,32,3,16,219,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0
