ASV,ART-156-506-701_F_filt.fastq.gz,ART-158-508-702_F_filt.fastq.gz,ART-161-513-702_F_filt.fastq.gz,ART-162-515-702_F_filt.fastq.gz,ART-164-517-702_F_filt.fastq.gz,ART-165-518-702_F_filt.fastq.gz,ART-166-520-702_F_filt.fastq.gz,DF-170-503-703_F_filt.fastq.gz,DF-171-505-703_F_filt.fastq.gz,DF-172-506-703_F_filt.fastq.gz,ENV-154-505-702_F_filt.fastq.gz,NP-001-502-714_F_filt.fastq.gz,NP-002-503-714_F_filt.fastq.gz,NP-003-505-714_F_filt.fastq.gz,NP-005-507-714_F_filt.fastq.gz,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,NP-041-513-718_F_filt.fastq.gz,NP-042-515-718_F_filt.fastq.gz,NP-043-516-718_F_filt.fastq.gz,NP-044-517-718_F_filt.fastq.gz,NP-045-518-719_F_filt.fastq.gz,NP-046-520-719_F_filt.fastq.gz,NP-047-521-719_F_filt.fastq.gz,NP-048-522-719_F_filt.fastq.gz,NP-049-502-719_F_filt.fastq.gz,NP-050-503-719_F_filt.fastq.gz,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz,NP-066-503-704_F_filt.fastq.gz,NP-067-505-721_F_filt.fastq.gz,NP-068-506-721_F_filt.fastq.gz,NP-069-507-721_F_filt.fastq.gz,NP-070-508-721_F_filt.fastq.gz,NP-071-510-721_F_filt.fastq.gz,NP-072-511-721_F_filt.fastq.gz,NP-073-513-721_F_filt.fastq.gz,NP-074-515-704_F_filt.fastq.gz,NP-075-516-721_F_filt.fastq.gz,NP-076-517-721_F_filt.fastq.gz,NP-077-518-721_F_filt.fastq.gz,NP-078-522-722_F_filt.fastq.gz,NP-080-520-722_F_filt.fastq.gz,NP-081-502-722_F_filt.fastq.gz,NP-083-505-722_F_filt.fastq.gz,NP-084-506-722_F_filt.fastq.gz,NP-085-507-722_F_filt.fastq.gz,NP-086-508-722_F_filt.fastq.gz,NP-087-510-722_F_filt.fastq.gz,NP-088-511-722_F_filt.fastq.gz,NP-090-515-723_F_filt.fastq.gz,NP-091-516-723_F_filt.fastq.gz,NP-093-518-728_F_filt.fastq.gz,NP-094-520-728_F_filt.fastq.gz,NP-095-521-728_F_filt.fastq.gz,NP-096-522-728_F_filt.fastq.gz,NP-097-502-723_F_filt.fastq.gz,NP-098-503-723_F_filt.fastq.gz,NP-099-505-723_F_filt.fastq.gz,NP-102-508-724_F_filt.fastq.gz,NP-103-510-724_F_filt.fastq.gz,NP-104-511-724_F_filt.fastq.gz,NP-105-513-724_F_filt.fastq.gz,NP-106-515-724_F_filt.fastq.gz,NP-108-517-724_F_filt.fastq.gz,NP-109-518-724_F_filt.fastq.gz,NP-110A-520-724_F_filt.fastq.gz,NP-110B-521-726_F_filt.fastq.gz,NP-111A-522-726_F_filt.fastq.gz,NP-111B-502-726_F_filt.fastq.gz,NP-112A-503-726_F_filt.fastq.gz,NP-112B-505-726_F_filt.fastq.gz,NP-113A-506-726_F_filt.fastq.gz,NP-113B-507-726_F_filt.fastq.gz,NP-114A-508-726_F_filt.fastq.gz,NP-114B-510-726_F_filt.fastq.gz,NP-115A-511-726_F_filt.fastq.gz,NP-115B-513-726_F_filt.fastq.gz,NP-116-515-727_F_filt.fastq.gz,NP-117A-516-727_F_filt.fastq.gz,NP-117B-517-727_F_filt.fastq.gz,NP-118A-518-727_F_filt.fastq.gz,NP-118B-520-727_F_filt.fastq.gz,NP-119A-521-727_F_filt.fastq.gz,NP-119B-522-727_F_filt.fastq.gz,NP-120-502-727_F_filt.fastq.gz,NP-121-503-727_F_filt.fastq.gz,NP-122-505-727_F_filt.fastq.gz,NP-123-506-727_F_filt.fastq.gz,NP-126-510-728_F_filt.fastq.gz,NP-127-511-728_F_filt.fastq.gz,NP-128-513-728_F_filt.fastq.gz,NP-129-515-728_F_filt.fastq.gz,NP-133-520-723_F_filt.fastq.gz,NP-134-521-723_F_filt.fastq.gz,NP-135-522-729_F_filt.fastq.gz,NP-139-506-729_F_filt.fastq.gz,NP-140-507-729_F_filt.fastq.gz,NP-141-508-729_F_filt.fastq.gz,NP-144-513-729_F_filt.fastq.gz,NP-145-515-729_F_filt.fastq.gz,NP-146-516-701_F_filt.fastq.gz,NP-147-517-701_F_filt.fastq.gz,NP-150-521-701_F_filt.fastq.gz,NP-151-522-701_F_filt.fastq.gz,NP-152-502-701_F_filt.fastq.gz,NP-153-503-701_F_filt.fastq.gz,ZOOP-159-510-702_F_filt.fastq.gz,ZOOP-160-511-702_F_filt.fastq.gz,ZOOP-163-516-702_F_filt.fastq.gz,ZOOP-167-521-702_F_filt.fastq.gz,ZOOP-168-522-703_F_filt.fastq.gz,ZOOP-169-502-703_F_filt.fastq.gz
ASV1,0,0,0,0,0,905,1195,1,0,0,3,0,1,0,2,0,0,0,3,0,2,1,0,0,0,2,0,6,4,15,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,2,0,3,193,51,162,177,79,8,53,91,66,62,0,29,53,7,34,15424,13121,17643,20554,25331,14647,19950,35340,26084,32114,15887,19668,20033,22708,21256,23471,21770,23191,26381,4,3,6,0,6,0,5,0,0,17,4,0,6,0,0,3,45,21545,0,0,8,12,68,35042,62,19690,31,24096,8,26192,23954,20,25411,45,24395,15,24031,23432,17392,26862,26679,22327,24611,23418,25723,21868,30432,37494,5,3,3,12087,16641,26493,9067,5169,2113,11914,7813,0,3,2,68,5,553
ASV2,0,2,0,0,832,484,254,0,0,0,0,0,0,0,0,10,0,7,0,4,42,13,3,2,9,2,12,27,2,0,0,945,0,1,0,0,0,4,0,0,16,987,1602,1147,1810,3533,638,523,972,400,518,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,0,0,0,19686,7866,19040,16621,16305,20458,12238,17949,19332,16137,19296,35684,7704,26735,27757,377,2,0,22331,384,157,17156,2,0,0,0,118,723,0,0,903,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,20370,14978,18488,4765,7025,5542,6667,3579,1928,3246,4617,2,0,0,0,0,0
ASV3,167,0,242,0,41,439,30,14,17,21,0,2,3,0,0,2492,2231,261,3065,721,8708,4374,3607,5699,832,1271,2409,3796,16294,18452,2662,24352,13237,6781,10344,14495,14282,13459,12825,10517,7663,11563,4754,15194,7215,4403,6077,9028,6113,8244,8253,8260,1282,1597,1544,1133,83,288,455,6687,6173,4715,13130,1542,5956,846,0,0,1,0,0,0,0,2,7,0,0,1566,0,0,3,0,0,3,0,2,14,460,2,0,1134,171,1294,3640,4305,296,336,8208,7,34,20722,121,0,547,4410,5005,360,379,39,13,0,548,5,15,2,4,6,0,37,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,493,0,279,23,0,8714,7,0,88,81,614,0,0,0
ASV4,0,0,0,0,0,1,477,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,2,0,42,4,0,5,1,11,4,0,0,0,0,0,0,0,0,0,0,0,68,29,50,76,28,19,50,129,64,31,0,11,4,0,0,14699,9995,4110,6748,667,14701,9785,613,2546,7487,2774,1358,5056,5552,9133,6275,5573,5999,6758,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,9156,0,0,0,1,7,59,10,4795,18,8762,4,5510,4,4,5688,27,8412,15,5740,8655,16919,4409,11350,2812,2825,3107,3724,5435,7275,9424,0,0,0,0,6107,0,0,2078,0,4664,3638,0,0,0,65,5,290
ASV5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,204,46,3613,7610,5455,5355,1924,46,480,106,0,0,0,0,0,0,0,1,0,0,20402,8041,9017,11839,9219,6745,12957,15933,11542,17473,9229,2840,12044,9099,12663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6,46,0,79,0,2,88,4,5,7,13,0,0,0,0,0,1044,563,53,902,158,2306,2391,1410,1774,246,481,997,1033,1608,2318,281,2800,1690,841,1056,1181,2295,1172,1628,1707,1365,4276,1961,5924,2770,2026,1157,1710,885,1618,1634,739,1033,120,214,98,13,20,28,391,347,347,778,271,877,573,0,0,2,0,0,0,0,0,0,0,0,3573,0,0,1,0,0,1,0,0,3,8,1,0,119,74,1840,2108,315,94,52,654,8,5,133,243,0,55,1235,1412,125,893,120,13,1,276,0,5,0,2,23,0,29,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,48,5,0,2387,3,0,18,16,248,0,0,0
ASV7,0,0,0,0,106,56,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,185,0,0,0,0,0,0,0,0,0,151,253,182,278,601,115,70,168,69,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3182,1280,2937,2690,2479,3318,2229,2856,2964,2518,3278,5864,1479,3912,4323,84,0,0,3641,77,24,2627,0,0,0,0,17,79,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239,2367,2938,758,1062,841,1044,540,286,518,733,0,0,0,0,0,0
ASV8,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396,1058,2018,4454,3561,2293,2134,2332,2852,6991,2174,528,2950,0,0,0,3376,0,0,0,0,0,0,0,0,0,1407,646,586,1089,4851,672,239,661,470,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV9,53,0,57,0,0,4,0,0,8,2,6,0,0,7,0,3567,295,380,1297,303,2329,3786,1443,2508,1589,6749,7554,2463,46,55,36,247,148,21,22,26,347,89,133,32,25,277,243,514,212,282,271,307,160,337,380,37,13,13,12,3,3,4,6,13,0,44,19,8,67,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,57,0,0,0
ASV10,96,0,56,0,0,0,0,2,13,5,0,0,0,1,0,4080,669,3183,5987,5208,1597,1304,3694,3854,569,1270,1096,477,32,92,14,8,73,20,9,10,48,32,16,36,15,59,10,227,16,36,38,80,25,49,93,0,0,0,0,0,0,0,0,0,0,0,6,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,38,0,0,0,0,0,53,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,39,0,0,0
